GDAY_DS,T_ID,VS_T_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SF,BB,HP,KK,GD,OBP,win
20190402,HT,SS,42,33,3,4,7,4,2,0,2,0,1,6,2,9,0,0.357142857,1
20190402,SS,HT,36,34,1,1,6,2,0,0,2,0,0,2,0,8,1,0.222222222,0
20190402,KT,OB,34,29,0,0,5,2,0,0,0,0,0,3,2,3,3,0.294117647,0
20190402,OB,KT,40,33,9,9,10,6,0,1,2,0,2,5,0,5,1,0.375,1
20190402,LG,HH,34,30,2,2,6,0,0,0,2,0,0,4,0,10,3,0.294117647,0
20190402,HH,LG,37,30,5,6,6,4,0,1,2,0,1,5,1,6,0,0.324324324,1
20190402,LT,SK,42,36,5,5,10,6,0,1,2,1,0,4,2,7,0,0.380952381,1
20190402,SK,LT,35,33,0,0,7,2,0,0,2,1,0,2,0,9,0,0.257142857,0
20190402,WO,NC,44,38,8,8,13,2,2,1,2,0,0,6,0,12,1,0.431818182,1
20190402,NC,WO,40,35,5,6,11,4,0,0,8,0,2,2,1,6,2,0.35,0
20190403,HT,SS,39,35,3,3,9,4,0,0,0,0,1,3,0,13,1,0.307692308,0
20190403,SS,HT,32,27,6,6,3,4,0,1,4,0,1,2,2,4,0,0.21875,1
20190403,KT,OB,38,34,1,1,11,0,0,0,2,0,0,3,1,6,3,0.394736842,0
20190403,OB,KT,34,29,5,5,6,6,0,1,0,0,0,3,1,6,0,0.303030303,1
20190403,LG,HH,44,36,6,7,11,2,0,1,4,0,1,5,1,8,0,0.395348837,1
20190403,HH,LG,36,30,0,0,5,2,0,0,0,0,0,5,1,10,0,0.305555556,0
20190403,LT,SK,39,33,2,3,8,2,0,0,0,1,0,5,0,12,0,0.342105263,1
20190403,SK,LT,35,28,1,1,3,2,0,0,0,0,1,4,2,9,0,0.257142857,0
20190403,WO,NC,34,32,1,1,8,0,0,0,2,0,1,1,0,4,2,0.264705882,0
20190403,NC,WO,44,44,9,9,19,10,2,2,2,0,0,0,0,9,0,0.431818182,1
20190404,HT,SS,41,35,7,7,8,2,0,1,4,1,0,5,0,6,0,0.325,0
20190404,SS,HT,41,34,12,12,14,6,0,3,2,0,3,4,0,6,0,0.43902439,1
20190404,KT,OB,37,35,4,4,8,2,0,1,0,0,0,1,1,8,1,0.27027027,0
20190404,OB,KT,36,31,5,5,8,2,2,2,0,1,0,5,0,5,0,0.361111111,1
20190404,LG,HH,31,28,1,1,5,2,0,0,2,1,0,1,1,6,3,0.233333333,0
20190404,HH,LG,38,30,2,2,6,0,0,0,4,0,0,6,1,9,1,0.351351351,1
20190404,LT,SK,49,44,5,6,12,2,0,1,0,0,0,4,1,13,1,0.346938776,0
20190404,SK,LT,47,43,7,7,14,4,0,3,0,0,0,3,0,7,0,0.369565217,1
20190404,WO,NC,41,37,5,6,12,2,0,1,4,1,1,3,0,8,1,0.365853659,1
20190404,NC,WO,39,33,5,5,6,4,0,2,2,0,1,5,0,7,0,0.282051282,0
20190405,HH,LT,37,36,2,2,11,4,0,1,0,0,0,0,1,7,2,0.324324324,0
20190405,LT,HH,42,36,5,5,12,0,0,2,0,0,1,2,2,7,0,0.390243902,1
20190405,LG,KT,48,40,12,13,16,10,0,1,2,0,2,6,0,5,1,0.458333333,1
