,댓글
0,그리움을 못 잊어   년도 도장찍고 갑니다
1,   기아는 여러 번의 트레이드의 성공  이범호  김주찬 등의 고참들의 활약  신예들의 등장  선발의 탄탄함  화끈한 불방망이  외인선수들의 알토란같은 플레이 이 모든 게 다 어우러져서 기적같이 통합우승한 게 아닌가싶다 물론 흔들리는 불펜은 아쉬웠지만 어찌어찌 꾸역투로 막아줬으니   시즌에도 이랬는데 정말 우주가 이따금씩 돕는가보다    이 모습이 또 나왔으면
2,  야구는 진짜 좋았다     완벽한 풀타임      선발에  심동섭 김세연 등 마감조 이명기 김선빈 주처 꽃 최형우 안치홍 
3,내가 가장 감명깊게 본 경기는  차전이다  양현종이 완봉승한 경기        양현종이  회초 잘 막고 나서 관중 호응 유도한 장면이랑       런다운 하다가 양의지 실수로 주자 묶지 못하고 홈인해서  대        양의지와   구 승부    양현종이    구째 삼진잡아서 이긴 경기   
4,진짜 이때 우승한 거 보고 울었었는데   저 시즌 기아팬이었으면 알텐데 진짜 재밌어서   번은 넘게 야구장 다닌듯 지고 있어도 끝날 때까지 끝난 게 아니었음
5,생각날때마다 한번씩 보는듯  이때처럼 강력한 기아를 한번더 보고싶다
6,한국시리즈   번 올라가서   번 우승 승률     이게 간지다 전세계 프로스포츠중에 이런 기록있는곳 타이거즈밖에 없음
7,기아이긴것도 좋았지만   차전은 아빠랑 언니랑 같이 직관했는데 사춘기 겪은뒤로 어색하기만하던 아빠가 이기던 순간에  이겼다  하시면서  나를 안아주던게 너무 생각나서 어떠한 기아경기중에 제일 기억에 남는다  
8,롯팬이지만 양현종 완봉은 진짜 대단한 듯   한국시리즈에서 그것도 두산 타선을 상대로   존경합니다
9,진짜 차전 아직도   생생한게 라이브로 봤는데 이범호 만루홈런 치고 이거 이기겠다 했는데 갑자기  대 까지 따라붙고  회말에 양현종 올라와서 이거 만약에 지면
10,두산팬이지만  분   초에 양현종이  회초 오재원까지 해서 삼자범퇴로 이닝 끝내고 마운드에서 내려올때 관중들에게
11,이 때는 진짜 기아 전성기였지 타자 라인업도 거를 타선이 없었고 투수진도 진짜 든든했었던      년  
12,          년 한국시리즈 끝내기 홈런이랑 오버랩    소름돋았다  기아팬으로서 감사드립니다 
13,저땐 두산멤버도 최강에 가까웠는데 기아가 완성체 조합에 거의 드래곤볼급으로 미친 시즌이였음      차전이 가장 중요했는데 양현종이 혼자 완봉승하고서 분위기 넘어갔음    에이스  선발 대결에서  패하고도 두산을 상대로 연속  연승하기 힘든데  연승이라니      
14,엔씨에서 안좋은 일도 있었지만 진짜 이명기 기아에서 고마웠다  한화에서의 선수 생명도 화려하게 다시 빛 났으면
15,양현종 미쳤다  저때 진짜 미친듯이 날라다니네
16,잘하는 기아 보고싶을때마다 이 영상 찾아서 볼꺼에요    아직도 장면마다 소름돋는건 정말    이멤버 리멤버    이렇게 선수들 케미가 좋았던건     년뿐인듯  
17,      김주찬의 이 주루가 코시 전체 분위기를 바꿔버림    내가 생각하는      코시의 핵심 장면   
18,진짜   년도 한국시리즈  차전은 양현종이 최고의 피칭을 하면서 기아의 우승의 원동력이 된 경기이었음
19,두산팬인 친구랑 마지막 경기 같이 봤던게 기억나네요      회에 양현종선수 올라오니까 두산팬인 친구가   아  진짜 드럽게 이기고 싶은가보다 니네 다해먹어라   라고 해서 엄청 웃었었는데    
20,그때가 그리워서 다시 왔습니다  우승도 그립지만 더 그리운 것은 함께 응원하는 사람과의 포옹  환호  웃음인 것 같습니다 
21,이 때의 영입  트레이드는 대성공이었지  이명기 김민식 김세현이 와서 기아의 마지막 퍼즐을 맞췄음 타격은  번부터  번까지 거를데가 없었음   한국시리즈 자체로는  할  푼이  명이나 있었지만 버디가 할 선빈이  할 치면서 메꿨지 투수는 헥터 양현종 한팀에   승 투수  명에다가 기아의 마지막 불안요소인 불펜투수에 김윤동 김세현까지  그야말로 두번 다시 볼 수 없는 완전체였다    
22,    년이 그립다      차전 양현종의     완봉승     년은 무적이었는데      지고있더라도 역전할 수 있다는 자신감   기대 몰아치는 타격 홈련    지금의 타이거즈는       다시 부활할 수 있을까 
23, 차전 양현종 완봉승은 진짜 어나더레벨이다 최강 두산 타자들을 요리하네   
24, 차전 양현종 공 진짜 미트에 팍팍 꽃히네    
25,롯데 팬으로서 기아팬들    부럽다     년마다 한번은 우승하니   한국시리즈 가는것만이라도 보고싶다
26,한국시리즈    는 양현종에 타자에선 버디가 하드캐리하긴 했는데 난 진짜 김주찬이 큰 일 했다 생각함 양의지가 주자 둘 다 잡으려고 욕심낸 것도 있지만 런다운 걸렸을때  댔다 싶었는데 진짜 똑똑하게 플레이 잘 했음  
27,기아타이거즈의 한국시리즈 전승이라는 기록도 정말 대단해  한국시리즈      승률      번의 우승 동안 상대팀도 여러 번 바뀌었는데 말이야       삼성  빙그레  현대          두산  한국시리즈      승률은 언젠가는 깨질 수 밖에 없는 기록이지만 그럼에도 불구하고 최대한 오래 했으면 좋겠다    
28,이제 정말  년이 지났는데 이범호 만루홈런이랑 나지완 투런홈런은 다시봐도 소름이 쫙 돋네   
29,그립다    기아가 저럴 때가 있었나 싶게 잘하네  흑흑 조금씩 전력 보강해서 다시 우승하자    
30,그래도 기아 언젠가는 다시 우승해줄거라 믿는다 진짜
31,아직도 저때가 생생합니다 안방침대에 다같이 옹기종기 앉아서 기아타이거즈를 외치면서 박수치고 환호했던게  년전이라는게 믿겨지지 않네요     저때의 기아는 정말 무서웠던것같아요 내년시즌은 꼭 우승까지 가봤으면 좋겠습니다
32,아 그립다 저 시절    명기 주찬이 버나디나 치홍이 범호 다 볼 수 없는 얼굴들      명기야 기아로 돌아와   
33,한국시리즈때 경험많은 노련한 베테랑들이 얼마나 중요한지를 뼈저리게 느꼈음  특히 이범호  나지완   투수는 양현종
34,명기 주찬 준족에  할넘는 테이블세터에 버나디나 형우 나지완 이범호로 이어지는 한방라인에 찌롱이 민식 선빈으로 이어지는 하위타선은 정말     한 라인이었네
35,다시 봐도 마지막 우승장면에서는 눈물이 나오려하네   다음시즌 잘해보자 
36,올해도 이런 기아의 모습을 보여줬으면 좋겠다
37,와 진짜 이명기하고 버나디나 어뜨케  할이 넘음      꾸준히 잘 때려줬네요    만루홈런에 완봉승까지 대박      
38,이때 진짜로 야구 보면서 몰입감 오졌는데   그때의 기아 그립다   
39,      지금 보니까 진짜 저때 김세현 공 너무 좋았다    정말 시즌 중 김세현 데려온건 신의 한수
40,이때 이 라인업 이 경기 그냥      기아가 너무너무 그립다   
41,다시봐도 명장면입니다 기아 타이거즈 다시 살아나길 바랍니다
42, 차전에 햄종은 진짜 신 들렸었다   그냥 공 자체가 너무 좋았고 수비의 도움도 있었지만 위기 탈출도 잘했음   타격이 그렇게 좋던 두산이 웬만해선 공도 못 건들이고 아 시발 이거 뭐지 하는 표정 지을 정도였으니   
43,아아   여기는         월   올해도 트레이드로 새로운 선수들이 마니 왔다     루 옆에서 팔을 돌리고 계시던 분이 지금 우리 감독이다   올해 근데 뭔가 잘한다   나쁘지가 않다    가을야구 갈지도      제발     
44,진짜   우승 이후 적어도 몇년간은  번타자 역할을 해줄 수 있는 이명기를 트레이드로 보내다니   
45,기아  명타자중 이범호  김민식 제외한  명이  할타자  김선빈은 시즌타격왕  선발 원투펀치가 시즌  승     선발도 커리어하이 우승할수밖에 없었던 미친시즌
46,이때 누구하나 빠지지않고 제 역활 정말 잘해줬다  우리 양현종이는 저때 생각하면 정말 지금    억도 아깝지 않긴 함  그 우승 하나를 위해 혼신의 투구를 해줬으니  
47,이때의 타선과 선발 투수진 그리고 갸 선수들의 야구 센스 같은게 너무 그립다  하  
48,     김주찬 저건 진짜 다시봐도 레전드네
49, 차전이 승리의 분기점인듯   차전에서 두산 분기로 확 넘어갔는데  차전때 양현종의 완벽한 피칭으로 기세 타기 시작
50,이때 타선만봐도 가슴이 웅장해진다   
51,해태 기아에 걸쳐서 선수 코치로 우승 경험한 한 남자 형님이 감독 되셨으니 또 다시 우승 가즈아    
52,이걸 보니   도 꼭 올해 이렇게 되면 좋겠네요   엔팬인데 통합우승 하는걸 꼭 보고싶습니다  
53,양현종 개잘했다 진짜 저런공 다시보고싶어
54,진짜 두산팬으로써 기아가 정말 저당시엔 너무 잘했지만 플옵때 그 불방망이가  차전 이후로 다 식어버려서 너무 아쉬웠던 시리즈
55,이때 라인업 너무 그립다   다들 어디갔니 얘드라   
56,     이 편집은 진짜 소름돋는 센스네
57,몇년이 지난 후 이 영상을 다시 보는데도 닭살이 올라오네요    내년에  우리 기아 선수들 준비 잘해서 이런 모습 꼭 보고 싶네요  
58,와 이때는 라인업만 봐도 든든하다
59,  살   서울에서 야구장 처음갔을때   한국시리즈 보러갔는데 진짜 후회없었다    그리고 나서 기숙사에서 핸드폰으로 중계보고 우승확정되고 겁나 뛰어서 룸메가 그렇게 좋냐고 물어본거 생각나네
60,이 때의 기아는 정말 낭만이었다   
61,진짜 한국 시리즈 영현종 완봉승은 전설이다   이때 타이거즈는 뭘해도 다 이기는 모습 이었음   
62,이때 양현종은 진짜 미쳤다
63,솔직히 한국시리즈에서 두산상대로 완봉승 때릴투수가 우리나라에 몇명이나있을까 지금 슬럼프긴한데 양현종 대단하긴하다
64,이때 라인업이 그립다      
65,다시보니까 기아타선도 엄청난데 두산 타선도 장난없네    그리고 양현종 강약조절  로케이션 미쳤다 진짜
66,당시 과기대  학년이였습니다  진짜   년도에 잠실경기는 거의 다 간거 같고  학년이 너무 행복했었습니다
67, 차전  회말 만루  아웃이였을 때 마지막에 계속 연달아 파울만 나와서 떨렸다가 결국에는 이겨서 엄청 환호했던 기억이 나네요   
68,  년대 이후 타이거즈 단  번의 우승에는 양현종과 나지완이 있었네  황금세대가 다시오길
69,  기아가   잘라먹은것도 그렇고   년에도 두산  연패 잘라먹었는데    진짜 타이거즈      연속우승이 대단하다고 할 수 밖에   
70, 차전 양현종은   전설이다  
71,지금 기아팬분들에게 필요한 힐링 영상 너무 그립네     년도 지금에 비하면 에휴  한숨 뿐이다
72,이범호 만루홈런은 언제봐도 소름 돋는다
73,원년부터 타이거즈 팬으로서 지금 같이 최하위에  연패 하고 있을때     년 우승 하이라이트 영상을 보면서 우울함을 달래봅니다  이때 라인업이 너무 그립네요 
74,진짜 저때 기아타선 미쳤었다   
75,진짜 양현종 진짜 진짜 멋지다
76,  기아는 미쳤지 나지완   시즌때 같은 곳 결승홈런 칠때 소오름 돋았는데 
77,저때가 그립다   기아  
78,이범호를 잊지못하는것은   년 한국시리즈  차전의 만루홈런의 잔상때문일것
79,한국시리즈는 사실 버나디나가    를 받아야했다고 생각  진짜 엄청난 활약
80, 차전 양햄 제구는 언제봐도 예술   
81,후        년 기아는 진짜 무적이었는데    정규타선  명중에  할타자가  명에    승 투수  명에  지고 있어도 전혀 두렵지 않고  뒤집어 이긴 경기가 셀수 없이 많았고  불펜이 그닥 좋은 편이 아니었어도 워낙에 막강한 공격력에 리그 최고 선발진으로 통합우승     수년내로 저럴때가 반드시 또 오리란 기대로  암걸릴거 같아도 한번 응원하는 팀 끝까지 배신않고 응원하려 오늘도 중계를 또 보련다 
82,이명기 참 대단한 선수네요
83,지금도 조금씩은 살아나기시작했음 기아타이거즈도 예전처럼 그영광이 다시돌아오기를
84,    년 기아타이거즈  년만에 다시 왕좌의 자리에 오릅니다    번의 한국시리즈   번의 우승     의 명문구단 팀 기아타이거즈입니다  
85,범호형 만루홈런칠때 계속 소름돋아    
86,다시 봐도 감동스럽네     
87,기아 라인업보소    미쳤다 진짜     지금과는 완전  
88,어제    우승하는거 보고 오랜만에 다시 보러 들어옴   추억이다        
89,나 왜 눈물나냐   마지막에 전율이 돋는다  
90,           현재 이걸보니 가슴이 뭉클해지네
91, 차전 영봉승 진짜 멋있다
92,이때로 돌아가고 싶다
93,저 땐 낭만이란게 있었지  
94,이번년도 시즌 초중반이 너무 힘들어서 그런지 썸넬보고 바로 들어와서 힐링함 하    
95, 차전  회투아웃 양현종과 양의지의 승부는 지금 봐도 찌릿 합니다   두 선수 다 대단한 선수임
96,     여기서 분위기 끌어올린게  회말에 득점낸듯 얼마나 흐름이 중요한 스포츠인지 보여준장면같네
97,저 떄 김세현 빠른 공 하나만큼은 정말 좋았는데 어쩌다가 이렇게 된건지    야구는 참 어려운거같음
98,와 기아 라인업 지리네 거를 타선이 없네
99,아 정말 소름돋는다   저때 당시 기아 무적이었는데   
100,기아 이때     년 우승해서 진짜 좋았는데 지금은 할 말이 없네요      시즌은  위로 끝나서 포스트시즌 진출도 못했습니다 다음     년 시즌에는 꼭 갈 수 있기 를 응원합니댜 
101,현 고등학교  학년 내 야구는 아직도   년에 멈춰있다  친구들이 기아 선수 누구 가장 좋아해  물으면 안치홍 얘기하려다가 다른 사람 얘기하는거 보면  진짜 이때는 너무 추억이다
102,  양현종은 진짜 레전드였지     
103,이거 보니까 이명기 진짜 개잘하네
104,레전드 라인업이다  이명기 김주찬 버나디나 최형우 나지완 안치홍 이범호 김민식 김선빈  핵터
105,이때 타순은 정말 잊혀지지 않는다
106,하 이때 양현종 미쳤고 완벽했는데 수비 김호령 김선빈 지렸고
107,  팬이지만 기아 투수가 정말 잘하네요
108,개인적으로 야구규정중 맘에드는 규정은 끝내기홈런을 쳤을때 덕아웃에 있던 선수들이 그라운드에 들어와도 된다는 규정은 참 맘에 듭니다 야구나 축구는 이러면 얄짤없이 무효가 되죠 
109,지금 다시봐도   기아 설명하라면 한국시리즈가 정답이넼    강력한 타선 안정적인    선발 불안한 불펜   진짜 하이라이트 보면 타자들은  차전 빼고는 점수 내야할때는 준수하게 냈고  선발들도 적당히    회 막아내고 했는데 불펜이 쎄하게 만드는 경기가 있넼       진짜 시즌 팀 컬러가 한국시리즈에서도 그대로 보이는 한국시리즈였넼   
110,와       양현종 제구력 이때였으면 메이저리그갈수있었을거같은뎅
111,기아팬은 아니지만 정말 매력있는 팀이다
112,보고 이때가 그리워서 눈물 났어요  
113,  년 양현종은 간지 그자체엿지  
114,솔까로 내 생각에는    는 버나가 받는 것이 맞았다고 본다  차전까지  할이 넘는 타율에 타점도 많았으며 중요한 순간에도 잘 쳐 줬었다 물론  승  세이브의 양현종도 대단했지만 나의 생각에는 버나가 받는것이 정답이었던거 같다 과거 로페즈가  승  세이브 중요한 경기 잡아 주고도 못 받았던거랑 비교해서도 우리 나라는 아직 용병들에게 박하다    
115, 차전 앙현종도 대단하지만 김주찬 주루가 시리즈에서 기아를 살렸네
116,여덟경기 연속 두자리수 득점에   대 에서   대   까지 따라갔던 핵타선  불펜 진짜 처참했는데 불펜이 준 점수보다  점만 더 내면 이기는게 야구라는걸 보여줬던 시즌
117,다음 우승이 너무 멀지 않았으면  호랑이들 화이팅
118,정확하게  년 전 그립다 그때가   
119,알고리즘이 저를 여기까지 이끌고왔습니다     년 기아우승 가보자고
120, 차전 양현종은 정말    지대쩔어
121,벌써  년이 지났다  어쩌다  강 경쟁 전문팀이 된것인가   이제 강해질때 되지않았나 
122,솔직히 이 때가 빨간색 유니폼이 제일 잘 어울리던 시절임   항상 상대편에게 빨간맛을 보여주던 시절        
123,대투수의 활약 팻딘의 각성모드 이범호의 초사이어인 우승 할수 밖에 없었다 
124,진짜 타선 든든하다
125,기아 라인업 개 지렸다 투타 밸런스 아무도 못이길 시즌
126,이때는 어떻게 이렇게  잘했지
127,     김주찬 런다운 레전드 보면서 레알 감탄함 주처님    보고싶읍니다   
128,진짜 기아야 나 저 느낌 느껴 보고 싶다 제발 우승해줘
129,     양현종 레전드 세레머니
130,이명기 안치홍 김민식 버나디나 최형우 김주찬 김선빈    막강 조합
131,소름 돋은 포인트  양현종 완봉승  이범호 그랜드슬램  마지막경기  마지막 아웃카운트
132,이때개꿀잼이었음     솔직히 그동안 너무 독주가 강했는데 이때는 기아가 독주했긴 했어도 막판 갑자기 맛탱이 가서 부진하고 두산이 가을야구가네마네하다가 갑자기 치고 올라오면서 리그우승까지 넘보면서 이때 승부가 참 알수 없었는데  차전마저 내주면서 와 이거 질수도 있겠다 싶었는데  차전부터 잘라버렸지  
133,하이때 멤버 그리워서 미치겠네    좋긴좋다진짜 버나디나 진짜 잘했는데 소쿠리는  버나디나 하위버전    외국인 용병 둘다    이닝    이닝 막아주고  양현종도    이닝 선발진이 대박이었는데 그립다   
134,캬 미쳤다 롯데도 이런 날이 올까  
135,올시즌두 이거보며 힐링할줄이야
136,그립다     초 때  번을 틀었는데 갑자기 기아 우승 뜨자마자 소리 지르는 기억이     
137,저때  차전 직관이였는데 김주형 실책하고 진짜 분위기 난리도아니였는데     
138,저때 버나디나 헬멧 세레머니와 맞춰 멋진활약 해줬었지   이후 그만한 용병타자가 없네  헥터도 좋았고
139,저 때 존나 웃긴게 대타자로 부상 복귀한 김재호 내보내는것도 웃기지만 초구 노리는 게 존나 웃겼음      
140,너무좋은 최고 맴바들이다
141, 차전 양현종 구위 진짜   
142,다시봐도  감동
143, 번 이명기  번 버나디나  번 김주찬  번 최형우
144,   기아 그립다     올해도 잘했으면   
145,지금 코시 경기 다시보니 기아는 될팀이고 두산은 안될팀이었네 마지막 경기에 양현종 올라와서 졌으면 그대로 두산한테 다음경기 내주는 분위기였는데 그상황에서 만루 무실점으로 막아내고   갓현종이었다 짐주형의 악몽도 떠오르지만 늦게라도 방출되어서 다행     와의 와일드카드전 업셋까진 못하더라도  차전 뚫어냈으면 하는 마음에      기운 받아갑니다
146,진짜 이범호는 만루때   강하지 지리네
